groups,Ex,Ey,Px,Py,XLimit,YLimit,ProbX,rounds,epsilon,saveAllocation,computeEndowment,plotResult,delay,pause,weightVector
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",0,50,100,62,100,100,0.2,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",0,50,34,100,100,100,0.34,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",0,50,100,76,100,100,0.72,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",0,50,100,48,100,100,0.16,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",100,0,100,62,100,100,0.2,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",100,0,34,100,100,100,0.34,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",100,0,100,76,100,100,0.72,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",100,0,100,48,100,100,0.16,1,2.0,TRUE,FALSE,FALSE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",100,0,100,48,100,100,0.16,5,2.0,FALSE,TRUE,TRUE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
"[[1,2,3,4,5,6,7,8,9,10,11,12]]",100,0,100,48,100,100,0.16,5,2.0,FALSE,TRUE,TRUE,0.2,FALSE,"[0.1745, 0.08725, 0.043625, 0.021813, 0.010906]"
